,date,temperature_2m_(°C),relative_humidity_2m_(%),dew_point_2m_(°C),apparent_temperature_(°C),precipitation_(mm),pressure_msl_(hPa),surface_pressure_(hPa),cloud_cover_(%),cloud_cover_low_(%),cloud_cover_mid_(%),cloud_cover_high_(%),wind_speed_10m_(km/h),wind_speed_100m_(km/h),wind_direction_10m(°),wind_direction_100m_(°),temperature_2m_max_(°C),temperature_2m_min_(°C),temperature_2m_mean_(°C),daylight_duration_(s),sunshine_duration_(s),precipitation_hours_(h),shortwave_radiation_sum_(MJ/m²),CO_(μg/m³),NO_(μg/m³),NO2_(μg/m³),O3_(μg/m³),SO2_(μg/m³),PM2_5_(μg/m³),PM10_(μg/m³),NH3_(μg/m³),AirQualityIndex
1204,2024-03-15,19.375,27.458333333333332,-2.1958333333333333,16.4375,0.0,1012.8916666666668,785.4541666666668,47.083333333333336,0.0,2.625,46.708333333333336,7.691666666666666,9.420833333333333,200.875,164.79166666666666,28.899999999999995,10.0,19.4,43312.18,40760.78,0.0,26.87,995.0991666666667,22.118333333333336,29.306250000000002,58.028333333333336,32.99125,24.940416666666668,40.4125,6.9437500000000005,2.9583333333333335
1205,2024-03-16,20.591666666666665,25.916666666666668,-1.6291666666666667,17.808333333333334,0.0,1012.3874999999999,785.8958333333334,23.458333333333332,0.0,13.375,18.625,6.929166666666667,8.554166666666667,208.70833333333334,194.5,29.399999999999995,12.6,20.6,43378.8,39323.71,0.0,25.92,889.4016666666666,12.415,34.055416666666666,51.88041666666666,35.64416666666667,21.5775,34.115833333333335,6.486249999999999,2.75
1206,2024-03-17,19.870833333333334,26.583333333333332,-2.35,16.900000000000002,0.0,1011.7583333333333,784.9083333333333,56.916666666666664,0.0,49.458333333333336,24.375,6.6125,9.387500000000001,230.70833333333334,183.75,29.5,11.5,19.9,43445.66,40896.11,0.0,23.01,731.6870833333334,12.996666666666668,24.618750000000002,35.26208333333333,19.46375,16.133333333333333,28.06625,5.910416666666666,2.2083333333333335
1207,2024-03-18,21.483333333333334,23.625,-2.3541666666666665,18.675,0.0,1012.2624999999999,786.375,37.25,0.0,26.541666666666668,36.25,6.95,9.220833333333333,206.83333333333334,198.75,31.100000000000005,13.4,21.5,43512.73,35980.02,0.0,26.899999999999995,869.3741666666666,18.445416666666667,24.986666666666665,48.503750000000004,28.730833333333333,19.637916666666666,32.57125,6.217083333333334,2.5
1208,2024-03-19,20.441666666666666,49.0,6.170833333333333,18.666666666666668,0.0,1016.0208333333334,788.6208333333334,40.916666666666664,8.333333333333334,12.041666666666666,27.708333333333332,9.958333333333334,14.383333333333333,214.16666666666666,220.91666666666666,28.3,14.1,20.4,43579.96,40454.27,0.0,23.040000000000003,469.52624999999995,1.9583333333333333,18.242916666666666,38.23625,21.353333333333335,5.432083333333334,7.854166666666667,1.8145833333333332,1.7083333333333333
1209,2024-03-20,21.395833333333332,37.625,4.333333333333333,19.429166666666667,0.0,1014.725,788.2416666666667,32.416666666666664,0.0,22.666666666666668,20.958333333333332,7.570833333333333,9.616666666666667,214.91666666666666,167.04166666666666,29.8,12.9,21.399999999999995,43647.3,39782.42,0.0,24.66,992.7354166666668,17.707083333333333,32.79625,49.40083333333333,24.827916666666667,26.216250000000002,42.40083333333333,7.010833333333333,2.8333333333333335
1210,2024-03-21,20.945833333333333,33.416666666666664,2.275,18.875,0.0,1014.3625000000001,787.6583333333333,30.041666666666668,0.0,28.458333333333332,13.125,6.508333333333333,8.1625,191.5,187.79166666666666,29.8,11.699999999999998,20.9,43714.71,39832.66,0.0,26.5,906.7858333333334,21.022083333333335,26.088333333333335,39.60125,28.01833333333333,20.415,35.29875,6.899166666666666,2.4166666666666665
1211,2024-03-22,20.4875,31.458333333333332,-0.6541666666666667,17.445833333333333,0.0,1013.4458333333333,786.6083333333332,0.2916666666666667,0.0,0.25,0.08333333333333333,10.15,14.454166666666666,253.95833333333334,232.25,30.7,10.1,20.5,43782.16,41199.99,0.0,28.3,777.4420833333334,16.8275,24.07166666666667,40.87083333333333,18.927083333333332,16.992083333333333,28.48125,5.720833333333334,2.25
1212,2024-03-23,19.825,37.208333333333336,1.9458333333333335,17.5,0.0,1014.0958333333333,786.6875,9.333333333333334,5.833333333333333,3.5,0.0,8.520833333333334,10.245833333333334,246.875,219.58333333333334,29.5,11.300000000000002,19.8,43849.579999999994,41214.97,0.0,27.320000000000004,1138.4879166666667,19.16583333333333,35.397083333333335,80.96041666666666,42.23,41.48791666666667,56.80041666666667,6.14375,3.4166666666666665
1213,2024-03-24,19.775000000000002,26.833333333333332,-4.366666666666666,16.241666666666667,0.0,1011.1999999999999,784.3708333333334,5.208333333333333,0.0,1.25,3.9583333333333335,11.041666666666666,14.279166666666667,219.04166666666666,186.04166666666666,31.100000000000005,7.900000000000001,19.8,43916.94999999999,41229.8,0.0,28.86,719.4483333333333,10.472916666666666,27.15041666666667,43.0525,19.2175,17.057916666666667,29.542916666666667,5.727083333333333,2.375
1214,2024-03-25,18.408333333333335,15.791666666666666,-11.695833333333333,14.075000000000001,0.0,1009.7666666666668,782.3291666666668,86.25,0.0,0.0,86.25,10.137500000000001,15.341666666666667,194.41666666666666,168.58333333333334,28.899999999999995,6.599999999999999,18.4,43984.21,41244.52,0.0,26.94,682.8691666666667,7.876666666666666,26.832916666666666,51.620000000000005,22.2775,17.735833333333332,28.349166666666665,5.288749999999999,2.375
1215,2024-03-26,18.358333333333334,10.666666666666666,-15.420833333333334,14.258333333333333,0.0,1011.6750000000001,783.8125,84.08333333333333,0.0,0.2916666666666667,84.08333333333333,8.133333333333333,11.991666666666667,165.375,137.875,29.3,8.3,18.4,44051.32,39600.0,0.0,28.75,966.4495833333334,10.876249999999999,38.32458333333333,66.20083333333334,35.58708333333333,36.59041666666666,52.326249999999995,7.1499999999999995,3.5
1216,2024-03-27,18.470833333333335,12.958333333333334,-13.508333333333333,14.420833333333334,0.0,1012.4125,784.4458333333333,0.75,0.0,0.0,0.75,9.1,10.012500000000001,186.375,160.83333333333334,29.600000000000005,7.2,18.5,44118.24,41304.45,0.0,29.83,925.1433333333333,11.827916666666667,33.03791666666667,69.3675,31.91333333333333,39.973333333333336,53.60666666666666,6.706666666666667,3.75
1217,2024-03-28,17.916666666666668,47.375,2.441666666666667,15.666666666666666,0.0,1017.5916666666667,788.1041666666666,7.166666666666667,1.25,5.208333333333333,2.4166666666666665,9.458333333333334,13.945833333333333,247.45833333333334,236.29166666666666,27.8,9.0,17.9,44184.920000000006,41288.34,0.0,27.75,958.3833333333333,7.567083333333334,37.33208333333334,106.73208333333334,56.0975,45.11083333333334,56.53583333333333,2.9475,3.4583333333333335
1218,2024-03-29,17.645833333333332,47.125,1.4375,15.595833333333333,0.0,1018.0708333333333,788.2875,20.666666666666668,0.0,4.791666666666667,15.875,7.783333333333334,10.4875,221.70833333333334,209.08333333333334,28.899999999999995,8.5,17.6,44251.31,41334.74,0.0,28.83,1065.6120833333332,10.783333333333333,41.990833333333335,89.55583333333334,42.349583333333335,39.7325,52.086666666666666,5.262083333333333,3.7083333333333335
1219,2024-03-30,20.1375,24.833333333333332,-2.5833333333333335,17.383333333333333,0.0,1015.1416666666668,787.7041666666668,7.916666666666667,0.0,5.083333333333333,3.0833333333333335,6.645833333333333,8.679166666666667,244.33333333333334,209.625,29.600000000000005,10.6,20.1,44317.38,41348.45,0.0,28.62,926.2558333333333,16.605,30.734583333333333,67.985,31.684583333333332,26.062083333333334,40.897083333333335,7.032916666666666,3.2083333333333335
1220,2024-03-31,20.4375,30.083333333333332,0.7000000000000001,17.758333333333333,0.0,1015.2041666666668,787.9708333333333,44.291666666666664,0.0,14.416666666666666,34.75,8.754166666666666,10.9125,199.5,187.875,30.399999999999995,12.199999999999998,20.4,44383.07,40477.86,0.0,26.459999999999997,936.965,13.365833333333335,32.174166666666665,63.73541666666667,29.23,30.84625,42.99166666666667,6.86375,3.0416666666666665
1221,2024-04-01,20.908333333333335,31.333333333333332,1.0625,18.191666666666666,0.0,1014.7416666666667,787.9125,25.833333333333332,0.0,0.75,25.25,9.612499999999999,11.245833333333332,206.75,175.45833333333334,30.8,12.0,20.9,44448.329999999994,41423.32,0.0,28.23,955.185,19.261666666666667,29.950833333333335,52.824999999999996,26.375,29.104583333333334,44.14625,7.734583333333333,3.125
1222,2024-04-02,20.554166666666667,27.875,-0.7791666666666668,17.458333333333332,0.0,1013.9083333333333,787.025,71.16666666666667,0.0,0.0,71.125,10.1,12.641666666666666,221.875,184.20833333333334,31.100000000000005,10.800000000000002,20.6,44513.21,41362.55,0.0,28.23,891.21,18.985,27.13625,52.47458333333333,25.105833333333333,24.912916666666664,38.51333333333333,6.465833333333333,2.9166666666666665
1223,2024-04-03,20.458333333333332,30.833333333333332,1.0791666666666666,17.341666666666665,0.0,1011.9666666666667,785.4499999999999,13.25,0.0,9.458333333333334,4.708333333333333,10.887500000000001,13.379166666666668,227.08333333333334,204.83333333333334,29.8,11.4,20.5,44578.16,41565.77,0.0,25.600000000000005,946.8395833333333,23.89833333333333,27.492083333333337,34.31791666666667,24.7475,21.964166666666667,35.815,7.138749999999999,2.4166666666666665
1224,2024-04-04,18.629166666666666,44.625,4.479166666666667,16.1875,0.0,1012.3791666666666,784.5666666666666,23.333333333333332,0.041666666666666664,14.666666666666666,15.958333333333334,10.0875,13.258333333333333,164.54166666666666,125.75,27.3,9.7,18.6,44643.21,41585.75,0.0,23.66,983.4166666666666,25.754583333333333,29.66875,37.365833333333335,22.29875,23.145,36.852916666666665,6.238333333333333,2.25
1225,2024-04-05,19.045833333333334,34.875,0.5625,16.470833333333335,0.0,1014.9791666666666,786.8708333333334,8.041666666666666,0.041666666666666664,1.7916666666666667,6.583333333333333,8.479166666666666,10.858333333333334,195.91666666666666,180.54166666666666,28.0,10.1,19.0,44708.329999999994,41604.66,0.0,28.69,1172.5620833333332,27.31833333333333,33.922916666666666,65.85958333333333,39.07125,28.934583333333336,44.30583333333333,7.49625,3.0
